ebsd_id,mesh_id,confidence
3,1,73.68
5,2,100.0
8,3,78.95
9,4,58.33
10,5,90.91
12,6,69.23
15,7,100.0
16,8,71.7
18,9,78.95
19,10,75.0
20,11,60.0
21,12,100.0
22,13,100.0
23,14,100.0
24,15,75.0
25,16,75.0
26,17,69.57
27,18,88.57
30,19,81.25
31,20,63.41
33,21,71.05
34,22,77.14
35,23,84.21
37,24,75.2
38,25,100.0
39,26,87.5
40,27,75.76
41,28,62.5
42,29,54.55
43,30,68.42
44,31,70.37
45,32,81.25
47,33,73.02
48,34,68.75
51,35,100.0
53,36,70.0
55,37,71.82
56,38,81.25
57,39,50.0
58,40,43.75
59,41,80.95
61,42,100.0
62,43,63.64
64,44,57.58
65,45,72.27
66,46,68.0
68,47,74.36
69,48,80.0
73,49,45.16
75,50,62.86
76,51,90.48
77,52,77.78
80,53,75.0
81,54,72.0
82,55,73.81
84,56,72.32
85,57,70.83
86,58,80.77
89,59,90.32
92,60,85.0
93,61,68.75
96,62,81.25
97,63,89.29
98,64,64.86
99,65,81.25
100,66,68.57
101,67,70.0
102,68,78.28
104,69,82.14
108,70,72.55
109,71,100.0
111,72,62.5
112,73,43.33
113,74,57.38
114,75,80.3
115,76,81.25
118,77,56.52
119,78,70.37
120,79,55.38
122,80,100.0
123,81,72.97
125,82,84.85
126,83,47.62
127,84,78.05
128,85,68.75
130,86,71.43
131,87,85.0
132,88,81.25
134,89,73.47
135,90,76.67
136,91,55.17
137,92,87.5
138,93,66.67
140,94,64.71
142,95,82.61
144,96,81.25
145,97,62.5
146,98,100.0
147,99,91.67
149,100,42.86
150,101,66.67
151,102,90.0
156,103,76.19
160,104,95.0
163,105,68.75
165,106,46.43
166,107,56.94
167,108,74.07
169,109,61.4
170,110,75.81
172,111,92.0
174,112,62.5
175,113,83.33
176,114,76.0
177,115,100.0
178,116,64.91
181,117,48.0
182,118,80.0
183,119,73.08
185,120,62.16
186,121,96.43
188,122,65.38
189,123,74.58
191,124,66.67
192,125,81.63
194,126,68.0
195,127,85.19
196,128,53.33
197,129,100.0
200,130,100.0
201,131,100.0
202,132,84.21
203,133,93.55
204,134,77.78
206,135,87.88
207,136,100.0
208,137,68.29
209,138,68.0
210,139,72.0
212,140,81.63
217,141,73.53
219,142,43.24
220,143,82.05
221,144,100.0
222,145,85.45
223,146,56.52
224,147,79.17
225,148,62.5
227,149,66.67
228,150,84.21
230,151,75.0
231,152,100.0
232,153,62.5
233,154,80.56
234,155,56.67
235,156,75.86
236,157,72.73
237,158,80.56
239,159,78.79
240,160,100.0
241,161,65.52
242,162,73.91
243,163,80.0
244,164,100.0
245,165,78.26
246,166,78.26
248,167,75.0
249,168,63.89
250,169,69.57
253,170,85.0
254,171,100.0
256,172,78.12
257,173,84.62
258,174,100.0
259,175,73.08
261,176,63.83
262,177,57.89
264,178,82.69
265,179,64.86
266,180,87.8
268,181,70.45
270,182,81.25
271,183,85.0
272,184,79.31
274,185,82.14
276,186,71.43
278,187,76.67
280,188,76.0
282,189,76.67
283,190,68.67
284,191,79.49
285,192,71.43
287,193,91.43
291,194,92.0
292,195,100.0
294,196,71.05
295,197,69.23
299,198,52.17
303,199,66.67
100001,200,95.4
100002,201,93.42
