time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,3e-05,8.23,950,fatigue,0.001,0.00204,B-1,144000,0.3
0.05,5e-05,12.6,,,,,,,
0.09,8e-05,16.98,,,,,,,
0.13,0.0001,21.13,,,,,,,
0.16,0.00013,24.85,,,,,,,
0.19,0.00015,28.52,,,,,,,
0.21,0.00018,31.89,,,,,,,
0.24,0.0002,35.26,,,,,,,
0.27,0.00023,38.53,,,,,,,
0.31,0.00025,42.23,,,,,,,
0.35,0.00028,45.55,,,,,,,
0.4,0.0003,49.25,,,,,,,
0.45,0.00033,53.11,,,,,,,
0.48,0.00036,57.08,,,,,,,
0.51,0.00038,60.84,,,,,,,
0.54,0.00041,64.8,,,,,,,
0.56,0.00043,68.54,,,,,,,
0.59,0.00046,72.17,,,,,,,
0.61,0.00048,75.63,,,,,,,
0.63,0.00051,79.27,,,,,,,
0.66,0.00053,82.85,,,,,,,
0.68,0.00056,86.02,,,,,,,
0.7,0.00059,89.6,,,,,,,
0.71,0.0006,91.59,,,,,,,
0.72,0.00061,92.99,,,,,,,
0.74,0.00064,96.11,,,,,,,
0.77,0.00066,99.33,,,,,,,
0.8,0.00069,102.74,,,,,,,
0.82,0.00071,105.44,,,,,,,
0.85,0.00074,108.2,,,,,,,
0.9,0.00076,110.23,,,,,,,
1.1,0.00074,101.62,,,,,,,
1.14,0.00071,97.15,,,,,,,
1.18,0.00069,93.16,,,,,,,
1.22,0.00066,89.13,,,,,,,
1.26,0.00064,85.24,,,,,,,
1.29,0.00061,81.62,,,,,,,
1.32,0.00058,78.01,,,,,,,
1.35,0.00056,74.26,,,,,,,
1.38,0.00053,70.81,,,,,,,
1.41,0.00051,67.23,,,,,,,
1.45,0.00048,63.74,,,,,,,
1.48,0.00046,60.37,,,,,,,
1.51,0.00043,56.84,,,,,,,
1.54,0.00041,53.3,,,,,,,
1.57,0.00038,49.89,,,,,,,
1.6,0.00036,46.68,,,,,,,
1.64,0.00033,43.08,,,,,,,
1.68,0.00031,39.26,,,,,,,
1.71,0.00029,36.03,,,,,,,
1.72,0.00028,35.3,,,,,,,
1.76,0.00026,31.45,,,,,,,
1.79,0.00023,27.53,,,,,,,
1.83,0.0002,23.36,,,,,,,
1.86,0.00018,19.67,,,,,,,
1.89,0.00015,15.61,,,,,,,
1.91,0.00013,12.19,,,,,,,
1.95,0.0001,8.46,,,,,,,
1.98,8e-05,4.76,,,,,,,
2.0,5e-05,0.89,,,,,,,
2.02,3e-05,-2.48,,,,,,,
2.05,0.0,-5.94,,,,,,,
2.09,-3e-05,-9.41,,,,,,,
2.11,-5e-05,-12.58,,,,,,,
2.14,-8e-05,-15.63,,,,,,,
2.18,-0.0001,-18.52,,,,,,,
2.23,-0.00013,-21.48,,,,,,,
2.28,-0.00015,-24.85,,,,,,,
2.34,-0.00018,-28.69,,,,,,,
2.38,-0.0002,-32.5,,,,,,,
2.41,-0.00023,-36.6,,,,,,,
