time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,5e-05,5.78,950,fatigue,0.001,0.01006,J-1,144000,0.3
0.05,0.0001,12.7,,,,,,,
0.1,0.00015,19.27,,,,,,,
0.17,0.0002,25.68,,,,,,,
0.27,0.00025,32.93,,,,,,,
0.31,0.00027,35.08,,,,,,,
0.37,0.00031,40.15,,,,,,,
0.41,0.00036,48.32,,,,,,,
0.44,0.00041,54.55,,,,,,,
0.48,0.00046,61.35,,,,,,,
0.53,0.00051,67.25,,,,,,,
0.6,0.00056,73.77,,,,,,,
0.67,0.00061,79.6,,,,,,,
0.75,0.00066,87.07,,,,,,,
0.81,0.00071,93.39,,,,,,,
0.81,0.00071,94.21,,,,,,,
0.86,0.00076,101.51,,,,,,,
0.9,0.00081,107.6,,,,,,,
0.93,0.00087,114.61,,,,,,,
0.97,0.00092,120.98,,,,,,,
1.0,0.00097,127.29,,,,,,,
1.04,0.00102,133.16,,,,,,,
1.08,0.00107,140.28,,,,,,,
1.12,0.00112,145.33,,,,,,,
1.17,0.00117,151.82,,,,,,,
1.21,0.00122,157.2,,,,,,,
1.25,0.00127,160.76,,,,,,,
1.27,0.00132,162.19,,,,,,,
1.29,0.00138,163.36,,,,,,,
1.31,0.00141,164.02,,,,,,,
1.31,0.00143,164.11,,,,,,,
1.33,0.00148,164.41,,,,,,,
1.38,0.00153,163.93,,,,,,,
1.52,0.00158,160.83,,,,,,,
1.6,0.00163,163.7,,,,,,,
1.64,0.00168,166.16,,,,,,,
1.68,0.00173,169.3,,,,,,,
1.72,0.00178,171.69,,,,,,,
1.75,0.00183,172.98,,,,,,,
1.77,0.00189,173.01,,,,,,,
1.78,0.00194,170.12,,,,,,,
1.78,0.002,169.98,,,,,,,
1.78,0.00205,170.0,,,,,,,
1.78,0.0021,169.98,,,,,,,
1.79,0.00215,169.97,,,,,,,
1.79,0.0022,170.06,,,,,,,
1.81,0.00223,169.27,,,,,,,
1.91,0.00215,142.31,,,,,,,
1.94,0.0021,133.7,,,,,,,
2.01,0.00205,125.08,,,,,,,
2.1,0.0021,129.42,,,,,,,
2.15,0.00215,135.26,,,,,,,
2.18,0.0022,139.89,,,,,,,
2.22,0.00225,144.2,,,,,,,
2.25,0.0023,148.31,,,,,,,
2.3,0.00235,152.25,,,,,,,
2.31,0.00237,152.88,,,,,,,
2.33,0.00241,154.86,,,,,,,
2.38,0.00246,157.81,,,,,,,
2.43,0.00251,159.67,,,,,,,
2.48,0.00256,161.29,,,,,,,
2.52,0.00261,162.33,,,,,,,
2.57,0.00266,163.24,,,,,,,
2.61,0.00271,163.86,,,,,,,
2.65,0.00276,164.23,,,,,,,
2.7,0.00281,164.2,,,,,,,
2.75,0.00286,163.93,,,,,,,
2.8,0.00291,163.55,,,,,,,
2.81,0.00292,163.5,,,,,,,
2.85,0.00296,163.12,,,,,,,
2.9,0.00301,162.43,,,,,,,
2.95,0.00306,161.81,,,,,,,
3.0,0.00312,161.19,,,,,,,
3.05,0.00317,160.64,,,,,,,
3.1,0.00322,159.59,,,,,,,
3.15,0.00327,158.65,,,,,,,
3.2,0.00332,157.81,,,,,,,
