time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,6e-05,-2.85,850,fatigue,0.001,0.00563,416-22,153000,0.3
0.06,0.00011,4.99,,,,,,,
0.11,0.00016,11.87,,,,,,,
0.17,0.00021,18.77,,,,,,,
0.33,0.00026,26.36,,,,,,,
0.42,0.00031,37.65,,,,,,,
0.46,0.00036,46.01,,,,,,,
0.5,0.00042,53.86,,,,,,,
0.55,0.00047,61.78,,,,,,,
0.6,0.00052,68.98,,,,,,,
0.68,0.00057,76.95,,,,,,,
0.75,0.00062,85.11,,,,,,,
0.76,0.00062,86.45,,,,,,,
0.82,0.00067,94.14,,,,,,,
0.87,0.00072,102.99,,,,,,,
0.91,0.00077,111.83,,,,,,,
0.94,0.00082,120.12,,,,,,,
0.98,0.00087,128.25,,,,,,,
1.01,0.00092,136.14,,,,,,,
1.04,0.00097,143.67,,,,,,,
1.08,0.00102,150.8,,,,,,,
1.11,0.00107,157.42,,,,,,,
1.15,0.00112,164.21,,,,,,,
1.19,0.00117,169.8,,,,,,,
1.22,0.00123,173.74,,,,,,,
1.23,0.00128,174.85,,,,,,,
1.24,0.00133,174.82,,,,,,,
1.25,0.00138,174.83,,,,,,,
1.25,0.00143,175.01,,,,,,,
1.26,0.00149,175.25,,,,,,,
1.28,0.00154,175.42,,,,,,,
1.29,0.00159,175.14,,,,,,,
1.64,0.00164,169.65,,,,,,,
1.69,0.00169,175.49,,,,,,,
1.74,0.00174,180.78,,,,,,,
1.76,0.00181,174.3,,,,,,,
1.76,0.00187,174.68,,,,,,,
1.77,0.00195,174.87,,,,,,,
1.77,0.00205,175.03,,,,,,,
1.77,0.00214,175.24,,,,,,,
1.77,0.00221,175.54,,,,,,,
1.9,0.00216,160.49,,,,,,,
1.95,0.00211,153.28,,,,,,,
2.16,0.00216,158.69,,,,,,,
2.21,0.00221,165.29,,,,,,,
2.26,0.00226,171.9,,,,,,,
2.31,0.00231,178.22,,,,,,,
2.35,0.00237,176.72,,,,,,,
2.36,0.00243,176.97,,,,,,,
2.36,0.0025,177.31,,,,,,,
2.36,0.0026,177.49,,,,,,,
2.36,0.00265,177.55,,,,,,,
2.36,0.00271,177.62,,,,,,,
2.36,0.0028,177.9,,,,,,,
2.37,0.00286,178.16,,,,,,,
2.47,0.00281,166.05,,,,,,,
2.5,0.00276,158.45,,,,,,,
2.54,0.00271,151.17,,,,,,,
2.76,0.00275,158.42,,,,,,,
2.77,0.00276,159.82,,,,,,,
2.82,0.00281,167.48,,,,,,,
2.87,0.00286,174.39,,,,,,,
2.93,0.00291,182.72,,,,,,,
2.95,0.00297,178.03,,,,,,,
2.97,0.00302,181.66,,,,,,,
3.0,0.00307,183.14,,,,,,,
3.0,0.00312,182.57,,,,,,,
3.01,0.00317,182.52,,,,,,,
3.01,0.00322,182.73,,,,,,,
3.03,0.00327,183.06,,,,,,,
3.35,0.00332,186.15,,,,,,,
3.37,0.00338,181.03,,,,,,,
3.37,0.00343,181.47,,,,,,,
3.37,0.0035,181.83,,,,,,,
3.38,0.00356,182.29,,,,,,,
3.41,0.00361,185.43,,,,,,,
3.44,0.00366,185.54,,,,,,,
3.71,0.00371,189.36,,,,,,,
3.73,0.00379,182.36,,,,,,,
3.73,0.00387,182.74,,,,,,,
3.73,0.00393,182.79,,,,,,,
3.73,0.004,182.9,,,,,,,
3.73,0.00407,182.98,,,,,,,
3.73,0.00414,183.03,,,,,,,
3.73,0.00421,183.16,,,,,,,
3.74,0.00427,183.24,,,,,,,
3.74,0.00433,183.36,,,,,,,
3.74,0.00441,183.67,,,,,,,
3.75,0.00436,184.43,,,,,,,
3.76,0.0044,183.98,,,,,,,
3.83,0.00431,166.46,,,,,,,
3.85,0.00425,158.55,,,,,,,
3.88,0.0042,150.91,,,,,,,
3.9,0.00415,143.56,,,,,,,
3.94,0.0041,136.79,,,,,,,
4.15,0.00415,146.68,,,,,,,
4.2,0.0042,154.94,,,,,,,
4.25,0.00425,162.68,,,,,,,
4.3,0.0043,169.59,,,,,,,
4.35,0.00435,176.75,,,,,,,
4.4,0.0044,184.21,,,,,,,
4.46,0.00445,185.58,,,,,,,
4.46,0.00451,184.82,,,,,,,
4.46,0.00457,185.09,,,,,,,
4.46,0.00466,185.21,,,,,,,
4.47,0.00476,185.29,,,,,,,
4.47,0.00485,185.46,,,,,,,
4.47,0.00492,185.65,,,,,,,
4.54,0.00487,172.95,,,,,,,
4.56,0.00482,164.68,,,,,,,
4.58,0.00477,156.89,,,,,,,
4.6,0.00472,149.4,,,,,,,
4.62,0.00467,141.7,,,,,,,
4.64,0.00462,134.46,,,,,,,
4.66,0.00456,127.0,,,,,,,
4.68,0.00451,119.62,,,,,,,
4.71,0.00446,112.56,,,,,,,
4.73,0.00441,105.43,,,,,,,
4.76,0.00436,99.13,,,,,,,
4.77,0.00436,98.52,,,,,,,
4.81,0.00431,90.77,,,,,,,
4.87,0.00426,82.08,,,,,,,
4.93,0.00421,74.82,,,,,,,
4.99,0.00416,67.55,,,,,,,
