Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g101),Error (g262),Error (g240),Error (curve),Error (g207),Error (g95),Error (g287),Error (g14),Error (g72),Reduced Error
1970.0,0.16988,149.41,6.2714,0.032681,0.13055,0.21857,0.31971,0.058294,0.13379,0.11073,0.047481,0.10161,1.1534225557808513
1963.3,0.16911,151.16,5.8757,0.034177,0.12944,0.21854,0.31762,0.060843,0.13388,0.11078,0.047087,0.10109,1.1534607333793165
1949.6,0.17287,149.86,6.1606,0.033114,0.13041,0.21851,0.31921,0.059036,0.13387,0.1107,0.047243,0.10167,1.1537718290075827
1962.8,0.1691,151.11,5.8754,0.034177,0.12944,0.21854,0.31809,0.060842,0.13388,0.11078,0.047086,0.10109,1.153936341585223
1948.8,0.17072,149.99,6.0202,0.033604,0.12997,0.21852,0.31961,0.059889,0.13387,0.11073,0.047162,0.1014,1.1547530638622394
1914.1,0.17249,151.96,6.1223,0.03324,0.13028,0.21851,0.32029,0.059245,0.13387,0.11073,0.047216,0.1017,1.1550692051622597
1967.4,0.16912,151.43,5.8764,0.034177,0.12943,0.21853,0.31952,0.060848,0.13387,0.11079,0.047096,0.10109,1.1553554036136515
1960.5,0.16861,152.03,5.9463,0.033867,0.1296,0.21853,0.32004,0.060379,0.13385,0.11079,0.047192,0.10122,1.1554559290794488
1977.0,0.16787,150.74,5.9841,0.033689,0.12972,0.21854,0.32097,0.060114,0.13383,0.11078,0.047244,0.10122,1.1560969751807004
1914.7,0.17221,153.11,5.9621,0.033878,0.12974,0.2185,0.32077,0.060317,0.13389,0.11077,0.047082,0.10139,1.1563485079145337
1915.2,0.17204,151.64,6.1338,0.033183,0.13031,0.21851,0.32206,0.059157,0.13386,0.11073,0.047238,0.10169,1.1567470040890513
1959.2,0.17142,147.42,6.2703,0.032705,0.13071,0.21856,0.32291,0.058291,0.13385,0.11067,0.047377,0.1017,1.1567638084017349
1950.0,0.16945,152.23,6.0008,0.03366,0.12979,0.21852,0.32212,0.060028,0.13384,0.11078,0.047219,0.10135,1.1573033999607223
1952.1,0.17126,151.34,5.8958,0.034147,0.12956,0.21852,0.32152,0.06075,0.1339,0.11077,0.047049,0.10118,1.1573882587427204
1916.6,0.17139,152.28,5.9718,0.033817,0.12979,0.21851,0.32191,0.060226,0.13389,0.11076,0.047102,0.1014,1.1573947273522496
1979.2,0.16895,151.01,5.9504,0.03386,0.12964,0.21852,0.32232,0.060368,0.13385,0.11077,0.047179,0.10119,1.1577017700485233
1942.1,0.17011,151.19,6.0205,0.033589,0.12991,0.21852,0.32258,0.059883,0.13386,0.11076,0.047194,0.10141,1.1577059435741857
1950.5,0.16946,152.29,6.0006,0.033662,0.12978,0.21852,0.32296,0.060032,0.13384,0.11078,0.04722,0.10135,1.158152026226602
1940.4,0.17027,151.92,6.0798,0.033358,0.13006,0.21852,0.32388,0.059507,0.13384,0.11076,0.047263,0.10151,1.1587050835456272
1939.7,0.1703,151.92,6.0807,0.033355,0.13007,0.21852,0.3239,0.0595,0.13384,0.11076,0.047262,0.10152,1.1587225370260168
1960.4,0.17212,150.19,6.0466,0.033542,0.13005,0.2185,0.32374,0.059773,0.13388,0.11073,0.047162,0.10146,1.1588393565477235
1967.7,0.16782,151.83,5.861,0.034208,0.12934,0.21854,0.32304,0.060922,0.13386,0.1108,0.047123,0.10105,1.158884173260389
1963.9,0.16778,152.1,5.9138,0.033981,0.12948,0.21853,0.32344,0.060577,0.13385,0.1108,0.047181,0.10114,1.1589784380369
1963.5,0.17025,151.36,5.9403,0.033935,0.12965,0.21851,0.32355,0.060453,0.13387,0.11077,0.047128,0.10123,1.159105236908282
1939.1,0.16968,152.02,5.9798,0.033748,0.12975,0.21852,0.3238,0.060157,0.13386,0.11078,0.047176,0.10134,1.1591322786971268
