x,y,type,temperature,stress,title,strain_rate
0.001254293,63.70131621,,,,,
0.001262103,63.78044773,,,,,
0.001269913,63.85946865,,,,,
0.001277723,63.93837971,,,,,
0.001285533,64.01718164,,,,,
0.001293343,64.09587518,,,,,
0.001301153,64.17446102,,,,,
0.001308962,64.25293985,,,,,
0.001316772,64.33131234,,,,,
0.001324582,64.40957915,,,,,
0.001332391,64.48774091,,,,,
0.001340201,64.56579828,,,,,
0.00134801,64.6437519,,,,,
0.00135582,64.7216023,,,,,
0.001363629,64.79935007,,,,,
0.001371438,64.87699584,,,,,
0.001379247,64.95454001,,,,,
0.001387057,65.03198331,,,,,
0.001394866,65.10932626,,,,,
0.001402675,65.18656932,,,,,
0.001410484,65.26371309,,,,,
0.001418293,65.34075796,,,,,
0.001426101,65.41770449,,,,,
0.00143391,65.49455317,,,,,
0.001441719,65.57130448,,,,,
0.001449528,65.64795887,,,,,
0.001457336,65.72451681,,,,,
0.001465145,65.80097874,,,,,
0.001472953,65.8773451,,,,,
0.001480762,65.95361631,,,,,
0.00148857,66.02979281,,,,,
0.001496378,66.10587499,,,,,
0.001504186,66.18186329,,,,,
0.001511995,66.25775807,,,,,
0.001519803,66.33355975,,,,,
0.001527611,66.40926869,,,,,
0.001535419,66.48488529,,,,,
0.001543227,66.5604099,,,,,
0.001551035,66.63584289,,,,,
0.001558842,66.71118463,,,,,
0.00156665,66.78643544,,,,,
0.001574458,66.86159569,,,,,
0.001582265,66.93666571,,,,,
0.001590073,67.01164583,,,,,
0.00159788,67.08653637,,,,,
0.001605688,67.16133767,,,,,
0.001613495,67.23605002,,,,,
0.001621303,67.3106738,,,,,
0.00162911,67.38520919,,,,,
0.001636917,67.45965658,,,,,
0.001640821,67.49686425,,,,,
0.001648628,67.57117876,,,,,
0.001656435,67.64540618,,,,,
0.001664242,67.71954685,,,,,
0.001672049,67.79360102,,,,,
0.001679856,67.86756885,,,,,
0.001687662,67.94145064,,,,,
0.001695469,68.01524656,,,,,
0.001703276,68.08895691,,,,,
0.001711082,68.16258192,,,,,
0.001718889,68.23612184,,,,,
0.001726695,68.30957687,,,,,
0.001734502,68.38294729,,,,,
0.001742308,68.45623332,,,,,
0.001750115,68.5294352,,,,,
0.001757921,68.60255316,,,,,
0.001765727,68.67558743,,,,,
0.001773533,68.74853824,,,,,
0.001781339,68.82140581,,,,,
0.001789145,68.89419032,,,,,
0.001796951,68.96689217,,,,,
0.001804757,69.03951133,,,,,
0.001812563,69.11204814,,,,,
0.001820369,69.18450284,,,,,
0.001828174,69.25687556,,,,,
0.00183598,69.32916651,,,,,
0.001843786,69.40137593,,,,,
0.001851591,69.47350402,,,,,
0.001859397,69.54555095,,,,,
0.001867202,69.61751695,,,,,
0.001875007,69.68940223,,,,,
0.001882813,69.76120691,,,,,
0.001890618,69.83293124,,,,,
0.001898423,69.90457538,,,,,
0.001906228,69.9761395,,,,,
0.001914033,70.04762379,,,,,
0.001921838,70.11902846,,,,,
0.001929643,70.19035366,,,,,
0.001937448,70.26159956,,,,,
0.001945253,70.33276635,,,,,
0.001953057,70.40385421,,,,,
0.001960862,70.47486329,,,,,
0.001968667,70.54579375,,,,,
0.001976471,70.61664578,,,,,
0.001984276,70.68741953,,,,,
0.00199208,70.75811514,,,,,
0.001999885,70.82873281,,,,,
0.002007689,70.89927268,,,,,
0.002015493,70.9697349,,,,,
0.002023297,71.04011964,,,,,
0.002031101,71.11042707,,,,,
