time,strain,temperature,stress,type,title,youngs,poissons
0,0,800,70,creep,G44,157000,0.3
0.00,-0.000293,,,,,,
0.82,-0.000226,,,,,,
1.10,-0.000208,,,,,,
1.38,-0.00017500000000000003,,,,,,
1.65,-0.000129,,,,,,
2.02,-4.4000000000000006e-05,,,,,,
2.32,4.1e-05,,,,,,
2.55,0.0001,,,,,,
2.84,0.000168,,,,,,
3.07,0.00023,,,,,,
3.29,0.000294,,,,,,
3.44,0.000339,,,,,,
3.62,0.00037600000000000003,,,,,,
3.79,0.000433,,,,,,
3.97,0.000478,,,,,,
4.22,0.0005510000000000001,,,,,,
4.42,0.000605,,,,,,
4.54,0.0006450000000000001,,,,,,
4.77,0.0006990000000000001,,,,,,
4.99,0.0007589999999999999,,,,,,
5.11,0.000796,,,,,,
5.21,0.000829,,,,,,
5.44,0.000889,,,,,,
5.61,0.0009379999999999999,,,,,,
5.82,0.001,,,,,,
5.99,0.001046,,,,,,
6.11,0.001087,,,,,,
6.41,0.001167,,,,,,
6.59,0.001217,,,,,,
6.74,0.001265,,,,,,
7.02,0.001337,,,,,,
7.21,0.001392,,,,,,
7.37,0.001434,,,,,,
7.49,0.001466,,,,,,
7.62,0.001502,,,,,,
7.86,0.001563,,,,,,
8.19,0.0016489999999999999,,,,,,
8.51,0.001732,,,,,,
8.64,0.001777,,,,,,
8.88,0.001833,,,,,,
9.26,0.001923,,,,,,
9.49,0.0019850000000000002,,,,,,
9.69,0.002033,,,,,,
9.78,0.002066,,,,,,
10.06,0.002122,,,,,,
10.24,0.0021709999999999998,,,,,,
10.51,0.002236,,,,,,
10.74,0.002297,,,,,,
10.89,0.002334,,,,,,
11.26,0.002417,,,,,,
11.40,0.00245,,,,,,
11.66,0.002521,,,,,,
12.01,0.002599,,,,,,
12.21,0.002646,,,,,,
12.41,0.0026889999999999996,,,,,,
12.68,0.002753,,,,,,
12.86,0.002793,,,,,,
13.00,0.0028199999999999996,,,,,,
13.51,0.002938,,,,,,
13.80,0.002995,,,,,,
14.10,0.003054,,,,,,
14.42,0.003117,,,,,,
14.88,0.003212,,,,,,
15.17,0.003276,,,,,,
15.47,0.003337,,,,,,
15.65,0.0033729999999999997,,,,,,
15.97,0.003442,,,,,,
16.20,0.003495,,,,,,
16.47,0.003546,,,,,,
16.88,0.00362,,,,,,
17.07,0.003656,,,,,,
17.25,0.003705,,,,,,
17.55,0.003758,,,,,,
17.94,0.003832,,,,,,
18.24,0.0038940000000000003,,,,,,
18.52,0.003951,,,,,,
18.74,0.003996,,,,,,
18.95,0.0040420000000000005,,,,,,
19.25,0.0040939999999999995,,,,,,
19.74,0.00419,,,,,,
19.99,0.004234,,,,,,
20.34,0.0042970000000000005,,,,,,
20.67,0.004359,,,,,,
21.21,0.004462,,,,,,
21.61,0.004546,,,,,,
21.96,0.004604,,,,,,
22.57,0.004706,,,,,,
22.82,0.004764,,,,,,
23.12,0.004817,,,,,,
23.42,0.004881,,,,,,
23.71,0.004925,,,,,,
24.23,0.005026,,,,,,
24.43,0.005063,,,,,,
24.66,0.005097000000000001,,,,,,
24.86,0.005144999999999999,,,,,,
25.16,0.005187000000000001,,,,,,
25.43,0.00523,,,,,,
25.66,0.005284,,,,,,
26.46,0.0054210000000000005,,,,,,
26.91,0.005506,,,,,,
27.33,0.005584,,,,,,
27.66,0.005633,,,,,,
28.01,0.005694,,,,,,
28.30,0.005748,,,,,,
28.76,0.005836,,,,,,
29.13,0.005895,,,,,,
29.33,0.005931,,,,,,
29.61,0.005994,,,,,,
30.10,0.0060680000000000005,,,,,,
30.30,0.006109,,,,,,
30.72,0.006183999999999999,,,,,,
31.17,0.006261,,,,,,
31.45,0.006307,,,,,,
31.75,0.006363,,,,,,
31.97,0.006404999999999999,,,,,,
32.10,0.00643,,,,,,
32.35,0.0064659999999999995,,,,,,
32.60,0.006513,,,,,,
33.10,0.0065980000000000006,,,,,,
33.45,0.006656,,,,,,
33.80,0.0067220000000000005,,,,,,
34.14,0.006784,,,,,,
34.29,0.006815,,,,,,
34.59,0.006856999999999999,,,,,,
34.95,0.006915,,,,,,
35.32,0.006995,,,,,,
35.57,0.007030999999999999,,,,,,
35.75,0.007064,,,,,,
36.02,0.007110999999999999,,,,,,
36.07,0.00713,,,,,,
36.35,0.007175,,,,,,
36.71,0.007226,,,,,,
37.12,0.007291,,,,,,
37.34,0.007345000000000001,,,,,,
37.71,0.007392999999999999,,,,,,
37.99,0.007458,,,,,,
38.39,0.007513,,,,,,
38.79,0.007584,,,,,,
39.47,0.007703,,,,,,
39.74,0.007747,,,,,,
39.99,0.007788000000000001,,,,,,
40.18,0.007826,,,,,,
40.64,0.007902,,,,,,
40.86,0.007943,,,,,,
41.19,0.007996,,,,,,
41.64,0.008078,,,,,,
42.08,0.00815,,,,,,
42.34,0.008204,,,,,,
42.79,0.008267,,,,,,
43.16,0.008341,,,,,,
43.50,0.008389,,,,,,
43.78,0.008456,,,,,,
44.01,0.008486,,,,,,
44.35,0.008536,,,,,,
44.63,0.008582,,,,,,
44.81,0.008616,,,,,,
45.10,0.008664,,,,,,
45.35,0.008709,,,,,,
45.93,0.008807,,,,,,
46.20,0.008859,,,,,,
46.47,0.008904,,,,,,
46.72,0.008935,,,,,,
47.18,0.009016999999999999,,,,,,
47.78,0.009119,,,,,,
48.07,0.009171,,,,,,
48.50,0.00924,,,,,,
48.67,0.009275,,,,,,
49.07,0.009333000000000001,,,,,,
49.30,0.009376,,,,,,
49.54,0.009413,,,,,,
49.92,0.009475,,,,,,
50.15,0.009506,,,,,,
50.64,0.009584,,,,,,
50.87,0.009634,,,,,,
51.29,0.009699,,,,,,
51.65,0.009767,,,,,,
51.97,0.009808,,,,,,
52.14,0.009844,,,,,,
52.50,0.009889,,,,,,
52.99,0.00998,,,,,,
53.36,0.01004,,,,,,
53.61,0.010083,,,,,,
53.96,0.01011,,,,,,
54.27,0.010159,,,,,,
54.51,0.0102,,,,,,
54.72,0.010232000000000002,,,,,,
54.96,0.010280000000000001,,,,,,
55.17,0.010302,,,,,,
55.47,0.010350999999999999,,,,,,
55.67,0.01039,,,,,,
56.14,0.010457000000000001,,,,,,
56.41,0.010515000000000002,,,,,,
56.84,0.010587,,,,,,
57.21,0.010639000000000001,,,,,,
57.36,0.010685,,,,,,
57.66,0.01072,,,,,,
58.03,0.010778000000000001,,,,,,
58.44,0.010843,,,,,,
58.64,0.010885,,,,,,
58.95,0.010931999999999999,,,,,,
59.23,0.010974999999999999,,,,,,
59.35,0.010999000000000002,,,,,,
59.66,0.011044,,,,,,
60.13,0.011127,,,,,,
60.45,0.011177,,,,,,
60.66,0.011215999999999999,,,,,,
61.06,0.011276999999999999,,,,,,
61.31,0.011326000000000001,,,,,,
61.60,0.011364,,,,,,
61.73,0.011394999999999999,,,,,,
62.03,0.011444000000000001,,,,,,
62.28,0.011480999999999998,,,,,,
62.65,0.011536999999999999,,,,,,
62.92,0.011583000000000001,,,,,,
63.37,0.011664,,,,,,
63.82,0.011736,,,,,,
64.13,0.011794,,,,,,
64.38,0.011825,,,,,,
64.85,0.011907000000000001,,,,,,
65.37,0.011994,,,,,,
65.67,0.012029000000000001,,,,,,
65.89,0.012079,,,,,,
