cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,average_strain,valid_average_stress,valid_g207_phi_1,valid_g207_Phi,valid_g207_phi_2,valid_g79_phi_1,valid_g79_Phi,valid_g79_phi_2,valid_g164_phi_1,valid_g164_Phi,valid_g164_phi_2,valid_g167_phi_1,valid_g167_Phi,valid_g167_phi_2,valid_g309_phi_1,valid_g309_Phi,valid_g309_phi_2,prd_average_stress,prd_g207_phi_1,prd_g207_Phi,prd_g207_phi_2,prd_g79_phi_1,prd_g79_Phi,prd_g79_phi_2,prd_g164_phi_1,prd_g164_Phi,prd_g164_phi_2,prd_g167_phi_1,prd_g167_Phi,prd_g167_phi_2,prd_g309_phi_1,prd_g309_Phi,prd_g309_phi_2
632.0299999999996,490.36,313.0899999999997,13.042999999999997,8.395100000000014e-06,0.015875000000000007,1883.7999999999981,1.9804999999999997,1.8950999999999998,3.817299999999999,0.88536,2.119,3.0516999999999994,0.3209600000000001,2.2992,3.4030999999999993,1.2665,2.5072999999999994,2.9769999999999994,2.0625,2.2888999999999995,4.073699999999999,1881.4403578677172,1.9804400961873345,1.8952092760104704,3.817381527421032,0.8854085839874499,2.118965823623711,3.0516990858814705,0.3211409209041774,2.2992968347427007,3.4034020351644734,1.266849514190988,2.5073439440846585,2.977233517794215,2.0624650677861895,2.2889810994934066,4.073782536311418
42.03599999999998,309.7299999999999,355.6099999999997,4.0778,2.007800000000002e-05,0.08206100000000002,2260.099999999999,1.9875,1.8689,3.8094999999999994,0.87602,2.1357999999999997,3.0359999999999996,0.28683000000000003,2.2985,3.354699999999999,1.2961,2.5143,3.0043,2.0612,2.3165999999999998,4.0862,2327.5908306608626,1.9874420791284293,1.8694376861429216,3.8097853514242117,0.8762457365424464,2.1357345620457218,3.036285994531687,0.2875603246833368,2.298611860465675,3.3556685638540156,1.2958302695151362,2.51421504230789,3.004250456897546,2.0612370451226676,2.3163904865673812,4.0861514302629836
148.08999999999995,173.70999999999987,57.191999999999986,14.051,3.330700000000005e-05,0.098498,462.79999999999984,1.9951999999999999,1.8516999999999997,3.8018999999999994,0.84633,2.1281,3.0074,0.25531000000000004,2.2996,3.3176,1.3446,2.5268999999999995,3.0285,2.0565,2.3429,4.100899999999999,479.4537630983646,1.99520765705688,1.8525712265116825,3.802149871997393,0.847052877452677,2.1282571246062374,3.0082001880694094,0.2563778873273932,2.2998125843755926,3.3187844985143036,1.344022165741698,2.526736448123964,3.028271103820986,2.056582861724413,2.342484871367201,4.100586932641204
731.309999999999,668.2899999999998,122.91999999999992,5.747999999999999,9.500300000000001e-05,0.04345100000000001,784.5599999999994,1.9856999999999998,1.8794999999999997,3.811599999999999,0.87708,2.1263,3.0395999999999996,0.301,2.2994,3.3756999999999993,1.289,2.5112,2.9960999999999998,2.0602999999999994,2.3086,4.0809,779.4610348336856,1.9855666873431435,1.8797978708625993,3.8116623140492245,0.8772188821532705,2.126232796339894,3.039768390659981,0.30138169212784566,2.2994586556823533,3.3760889821452826,1.2888434609379422,2.511165232766983,2.9960953520702946,2.060372847749179,2.30842568220938,4.080898544397766
343.19999999999993,681.2599999999998,267.2799999999997,7.310699999999997,2.9336000000000073e-05,0.08291900000000002,1794.8999999999992,1.9928,1.8626,3.805999999999999,0.86387,2.1307,3.0231999999999997,0.27496,2.3013,3.3392999999999997,1.3166,2.5193,3.0155999999999996,2.0583,2.3281,4.0912999999999995,1816.0178064385254,1.9928189763554383,1.8629442918882104,3.8061599079538437,0.864125033722101,2.130659246942323,3.0235257377455405,0.2755369720811799,2.301345053805022,3.339944073990573,1.3164056021235677,2.519235268165493,3.015450593329451,2.0583254030400817,2.3279112167787446,4.091259699267875
456.32999999999987,440.77999999999963,9.8496,4.7165,4.112899999999998e-05,0.05884500000000001,273.05,1.9876,1.8710999999999998,3.807899999999999,0.87463,2.1305999999999994,3.0359999999999996,0.29159000000000007,2.2997,3.3594,1.2936,2.5123999999999995,2.9980999999999995,2.0599,2.3177,4.0832,272.26498777199157,1.9874850355662699,1.8714760160004893,3.8080215704564764,0.8748972816210827,2.1304382727535596,3.036312240403983,0.2920325735142998,2.299745186089972,3.3601317474602963,1.2934402019919433,2.5124134593097835,2.9981754925574093,2.0599468350370627,2.317364479608802,4.083187507264324
794.2699999999996,382.5799999999996,376.2799999999999,6.318799999999999,4.393500000000002e-05,0.04489700000000002,2215.699999999999,1.9856,1.8824999999999998,3.8131999999999993,0.87807,2.1269,3.0387999999999997,0.30432000000000003,2.3004,3.3791,1.2851,2.5109,2.9927999999999995,2.0608999999999997,2.3039999999999994,4.0813,2224.990363458032,1.9855249605715795,1.8826907393406491,3.8133249707271393,0.8782338068539669,2.1269719457384997,3.038971349600646,0.30463937721415596,2.300425181578802,3.3794219059935164,1.2850900163504118,2.5109180853457422,2.992808576374477,2.061006051364017,2.3038693536643744,4.081288390154244
528.8699999999997,175.6999999999998,293.1099999999999,9.176099999999996,9.781400000000016e-05,0.01184400000000001,1390.3999999999987,1.9798,1.8961,3.8178999999999994,0.88641,2.1184,3.0533,0.32203000000000004,2.2983,3.4055999999999997,1.2656,2.5069,2.9768,2.0625999999999998,2.2883,4.0732,1357.496140609381,1.9797463249902807,1.8960442737784964,3.8179848349068357,0.8864233098796486,2.118390424349203,3.0533525250383633,0.32200652569465765,2.298329028464206,3.4055739040810367,1.2659350943645893,2.5068863844595786,2.9769991715703963,2.062578042314259,2.288385140297829,4.073198747781754
683.9099999999996,560.1499999999993,137.92999999999984,12.558999999999996,2.518900000000001e-05,0.08294100000000001,1267.3999999999983,1.9945999999999997,1.8593999999999997,3.8036999999999996,0.85609,2.1284,3.0143999999999997,0.27145,2.3014,3.3345,1.3281,2.5203999999999995,3.0189999999999997,2.0571,2.3355999999999995,4.0947,1282.9553212380079,1.9945759251535389,1.859906021223195,3.803811728687175,0.8563871932565187,2.128381180378601,3.0148542333371915,0.27196300116867606,2.3014699905144496,3.3352348394142752,1.3278963768259602,2.520404615087954,3.0188769946643084,2.0570874599600866,2.335430086829898,4.0945747552862795
528.8699999999997,175.6999999999998,293.1099999999999,9.176099999999996,9.781400000000016e-05,0.04145400000000002,1610.599999999998,1.9864999999999997,1.8822,3.8127999999999993,0.87497,2.1249,3.0362,0.30268,2.3011,3.3776,1.2906,2.5123999999999995,2.9956,2.0604,2.3053999999999997,4.081099999999999,1624.5307010015158,1.9864859812229767,1.8823345733093817,3.812913143902469,0.8749819872133081,2.124867484725624,3.0362683661552854,0.30280538168654936,2.301112854771391,3.3778518521743752,1.2908865954048814,2.512435383748567,2.9957912347531006,2.060402440019522,2.30547581159001,4.081154376926965
