time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons,,
0.040722222,-0.000120887,11.4786123,900,tensile,D10,Air,3.60E-01,149000,0.3,,
0.040777778,-0.000120167,11.50861696,,,,,,,,,
0.040833333,-0.000120167,11.55861095,,,,,,,,,
0.040888889,-0.000120167,11.56860975,,,,,,,,,
0.040944444,-0.000119417,11.60861365,,,,,,,,,
0.041027778,-0.000119417,11.61861246,,,,,,,,,
0.041083333,-0.000118697,11.63861845,,,,,,,,,
0.041138889,-0.000118697,11.64861726,,,,,,,,,
0.041194444,-0.000118697,11.69861133,,,,,,,,,
0.041277778,-0.000117977,11.74861385,,,,,,,,,
0.041333333,-0.000118697,11.74860539,,,,,,,,,
0.041388889,-0.000118697,11.77860183,,,,,,,,,
0.041444444,-0.000117977,11.80860677,,,,,,,,,
0.0415,-0.000117977,11.83860324,,,,,,,,,
0.041583333,-0.000116507,11.88861482,,,,,,,,,
0.041638889,-0.000115757,11.89862258,,,,,,,,,
0.041694444,-0.000116507,11.91861132,,,,,,,,,
0.04175,-0.000115757,11.96861447,,,,,,,,,
0.041805556,-0.000115027,11.99861976,,,,,,,,,
0.041888889,-0.000115027,12.00861861,,,,,,,,,
0.041944444,-0.000114307,12.05862154,,,,,,,,,
0.042,-0.000113556,12.08862718,,,,,,,,,
0.042055556,-0.000116507,12.04859618,,,,,,,,,
0.042138889,-0.000115027,12.07861056,,,,,,,,,
0.042194444,-0.000114307,12.10861583,,,,,,,,,
0.04225,-0.000114307,12.15861011,,,,,,,,,
0.042305556,-0.000113556,12.1686181,,,,,,,,,
0.042388889,-0.000112836,12.21862122,,,,,,,,,
0.042444444,-0.000112086,12.24862702,,,,,,,,,
0.0425,-0.000112086,12.27862366,,,,,,,,,
0.042555556,-0.000111366,12.33862582,,,,,,,,,
0.042611111,-0.000110646,12.40862696,,,,,,,,,
0.042694444,-0.000109896,12.43863297,,,,,,,,,
0.04275,-0.000108426,12.51864258,,,,,,,,,
0.042805556,-0.000107706,12.54864837,,,,,,,,,
0.042861111,-0.000106986,12.62864884,,,,,,,,,
0.042944444,-0.000105516,12.68866108,,,,,,,,,
0.043,-0.000104045,12.73867453,,,,,,,,,
0.043055556,-0.000103315,12.81867557,,,,,,,,,
0.043111111,-0.000103315,12.85867143,,,,,,,,,
0.043166667,-0.000101845,12.92868321,,,,,,,,,
0.04325,-0.000102565,12.9286739,,,,,,,,,
