time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,5e-05,3.75,850,fatigue,0.001,0.01508,416-12,153000,0.3
0.07,0.0001,11.36,,,,,,,
0.13,0.00015,18.51,,,,,,,
0.27,0.0002,26.45,,,,,,,
0.36,0.00025,35.35,,,,,,,
0.41,0.0003,43.54,,,,,,,
0.44,0.00035,50.69,,,,,,,
0.48,0.0004,57.81,,,,,,,
0.53,0.00045,65.12,,,,,,,
0.6,0.0005,72.36,,,,,,,
0.68,0.00055,80.02,,,,,,,
0.74,0.0006,87.59,,,,,,,
0.76,0.00062,90.17,,,,,,,
0.8,0.00066,94.74,,,,,,,
0.85,0.00071,103.18,,,,,,,
0.89,0.00076,110.85,,,,,,,
0.93,0.00081,118.49,,,,,,,
0.97,0.00086,126.41,,,,,,,
1.0,0.00091,134.52,,,,,,,
1.04,0.00096,141.84,,,,,,,
1.08,0.00101,149.46,,,,,,,
1.12,0.00106,156.53,,,,,,,
1.16,0.00111,162.32,,,,,,,
1.18,0.00116,164.72,,,,,,,
1.19,0.00122,165.58,,,,,,,
1.2,0.00127,166.2,,,,,,,
1.21,0.00132,166.56,,,,,,,
1.22,0.00138,166.81,,,,,,,
1.23,0.00143,167.05,,,,,,,
1.24,0.00148,167.16,,,,,,,
1.26,0.00153,166.81,,,,,,,
1.62,0.00158,168.52,,,,,,,
1.67,0.00164,174.75,,,,,,,
1.68,0.0017,166.02,,,,,,,
1.68,0.00178,166.28,,,,,,,
1.68,0.00184,166.55,,,,,,,
1.68,0.00191,166.63,,,,,,,
1.68,0.00198,166.75,,,,,,,
1.68,0.00207,166.88,,,,,,,
1.69,0.00215,166.91,,,,,,,
1.69,0.00223,167.04,,,,,,,
1.69,0.00231,167.21,,,,,,,
1.69,0.00238,167.36,,,,,,,
1.69,0.00243,167.55,,,,,,,
1.69,0.0025,167.69,,,,,,,
1.7,0.00244,168.52,,,,,,,
1.76,0.00239,151.96,,,,,,,
1.76,0.00239,151.48,,,,,,,
1.78,0.00234,144.22,,,,,,,
1.8,0.00229,136.87,,,,,,,
1.81,0.00223,129.3,,,,,,,
1.83,0.00218,122.41,,,,,,,
1.85,0.00213,115.38,,,,,,,
1.87,0.00208,108.72,,,,,,,
1.9,0.00203,102.27,,,,,,,
2.14,0.00213,119.13,,,,,,,
2.19,0.00218,126.51,,,,,,,
2.24,0.00223,134.07,,,,,,,
2.29,0.00228,141.26,,,,,,,
2.34,0.00233,148.8,,,,,,,
2.4,0.00238,156.07,,,,,,,
2.45,0.00243,163.16,,,,,,,
2.51,0.00248,170.49,,,,,,,
2.55,0.00254,169.41,,,,,,,
2.55,0.0026,169.91,,,,,,,
