time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,5e-05,18.4,950,fatigue,0.001,0.01008,E-28,144000,0.3
0.06,0.0001,25.23,,,,,,,
0.12,0.00015,31.42,,,,,,,
0.18,0.0002,37.45,,,,,,,
0.25,0.00025,42.91,,,,,,,
0.27,0.00026,43.95,,,,,,,
0.33,0.0003,49.35,,,,,,,
0.39,0.00036,55.85,,,,,,,
0.44,0.00041,62.2,,,,,,,
0.49,0.00046,69.02,,,,,,,
0.54,0.00051,75.54,,,,,,,
0.59,0.00056,82.05,,,,,,,
0.64,0.00061,88.01,,,,,,,
0.7,0.00066,94.01,,,,,,,
0.76,0.00071,100.44,,,,,,,
0.77,0.00071,100.6,,,,,,,
0.83,0.00076,106.15,,,,,,,
0.89,0.00081,112.61,,,,,,,
0.95,0.00086,118.64,,,,,,,
1.0,0.00091,125.14,,,,,,,
1.06,0.00096,131.21,,,,,,,
1.12,0.00101,137.74,,,,,,,
1.17,0.00106,144.41,,,,,,,
1.21,0.00111,150.86,,,,,,,
1.25,0.00116,156.78,,,,,,,
1.27,0.00119,159.64,,,,,,,
1.28,0.00121,160.96,,,,,,,
1.31,0.00126,163.22,,,,,,,
1.32,0.00131,163.96,,,,,,,
1.33,0.00137,164.81,,,,,,,
1.34,0.00142,165.19,,,,,,,
1.35,0.00148,165.66,,,,,,,
1.36,0.00153,165.84,,,,,,,
1.37,0.00159,166.21,,,,,,,
1.37,0.00164,166.29,,,,,,,
1.38,0.00169,166.23,,,,,,,
1.4,0.00174,165.71,,,,,,,
1.42,0.00179,164.67,,,,,,,
1.53,0.00174,144.4,,,,,,,
1.77,0.00177,147.8,,,,,,,
1.78,0.00179,149.29,,,,,,,
1.82,0.00184,154.32,,,,,,,
1.86,0.00189,159.0,,,,,,,
1.9,0.00194,163.22,,,,,,,
1.94,0.00199,166.85,,,,,,,
1.98,0.00204,169.88,,,,,,,
2.02,0.0021,172.51,,,,,,,
2.06,0.00215,174.14,,,,,,,
2.09,0.0022,174.63,,,,,,,
2.11,0.00225,173.27,,,,,,,
2.13,0.0023,172.3,,,,,,,
2.13,0.00236,172.3,,,,,,,
2.14,0.00241,172.07,,,,,,,
2.15,0.00246,171.83,,,,,,,
2.16,0.00252,171.55,,,,,,,
2.18,0.00257,169.8,,,,,,,
2.27,0.00258,155.09,,,,,,,
2.37,0.00252,140.24,,,,,,,
2.52,0.00257,141.52,,,,,,,
2.57,0.00262,146.04,,,,,,,
2.61,0.00267,149.93,,,,,,,
2.65,0.00272,153.75,,,,,,,
2.69,0.00277,156.59,,,,,,,
2.72,0.00282,159.24,,,,,,,
2.76,0.00287,161.52,,,,,,,
2.77,0.00287,161.7,,,,,,,
2.81,0.00292,163.05,,,,,,,
2.85,0.00297,164.46,,,,,,,
2.89,0.00302,165.2,,,,,,,
2.94,0.00307,165.79,,,,,,,
2.98,0.00313,166.05,,,,,,,
3.03,0.00318,165.84,,,,,,,
3.07,0.00323,165.58,,,,,,,
3.12,0.00328,164.96,,,,,,,
3.17,0.00333,164.31,,,,,,,
3.22,0.00338,163.48,,,,,,,
3.27,0.00342,162.85,,,,,,,
3.27,0.00343,162.65,,,,,,,
3.32,0.00348,161.83,,,,,,,
3.37,0.00353,161.06,,,,,,,
3.42,0.00358,160.35,,,,,,,
3.47,0.00363,159.73,,,,,,,
3.52,0.00368,159.11,,,,,,,
3.57,0.00373,158.53,,,,,,,
3.62,0.00378,157.92,,,,,,,
3.67,0.00383,157.35,,,,,,,
3.72,0.00388,156.69,,,,,,,
3.77,0.00393,156.19,,,,,,,
3.82,0.00398,155.42,,,,,,,
3.87,0.00403,154.67,,,,,,,
3.92,0.00408,154.02,,,,,,,
3.97,0.00413,153.18,,,,,,,
4.02,0.00418,152.59,,,,,,,
4.07,0.00423,152.12,,,,,,,
4.12,0.00428,151.89,,,,,,,
4.17,0.00433,151.37,,,,,,,
4.22,0.00439,150.92,,,,,,,
4.27,0.00443,150.75,,,,,,,
4.27,0.00444,150.54,,,,,,,
4.32,0.00449,150.15,,,,,,,
4.37,0.00454,149.61,,,,,,,
4.42,0.00459,149.04,,,,,,,
4.47,0.00464,148.39,,,,,,,
4.52,0.00469,148.01,,,,,,,
4.57,0.00474,147.69,,,,,,,
4.63,0.00479,147.24,,,,,,,
4.68,0.00484,147.11,,,,,,,
4.73,0.00489,146.81,,,,,,,
4.77,0.00493,146.81,,,,,,,
4.78,0.00494,146.41,,,,,,,
4.83,0.00499,146.58,,,,,,,
4.88,0.00504,146.52,,,,,,,
4.93,0.00509,146.44,,,,,,,
4.98,0.00514,146.54,,,,,,,
5.03,0.00519,146.54,,,,,,,
5.08,0.00524,146.31,,,,,,,
5.13,0.00529,146.23,,,,,,,
5.18,0.00534,146.12,,,,,,,
5.23,0.00539,145.92,,,,,,,
5.27,0.00543,146.1,,,,,,,
5.28,0.00545,145.84,,,,,,,
5.33,0.0055,145.63,,,,,,,
5.38,0.00555,145.71,,,,,,,
5.43,0.0056,145.57,,,,,,,
5.48,0.00565,145.42,,,,,,,
5.53,0.0057,145.34,,,,,,,
