time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons
36.1000008,1.53E-05,10.14015505,950,tensile,D11,Air,0.000101825,144000,0.3
36.3999996,1.53E-05,10.26015689,,,,,,,
36.6000012,1.60E-05,10.34016552,,,,,,,
36.7999992,1.60E-05,10.45016728,,,,,,,
37.0000008,1.60E-05,10.53016856,,,,,,,
37.1999988,1.60E-05,10.64017033,,,,,,,
37.5000012,1.68E-05,10.70017927,,,,,,,
37.6999992,1.68E-05,10.80018094,,,,,,,
37.9000008,1.68E-05,10.91018279,,,,,,,
38.0999988,1.75E-05,10.99019201,,,,,,,
38.4000012,1.75E-05,11.08019358,,,,,,,
38.5999992,1.82E-05,11.18020367,,,,,,,
38.8000008,1.89E-05,11.2602132,,,,,,,
38.9999988,1.97E-05,11.33022265,,,,,,,
39.2000004,1.97E-05,11.44022481,,,,,,,
39.4999992,2.04E-05,11.52023497,,,,,,,
39.7000008,2.04E-05,11.63023722,,,,,,,
39.8999988,2.19E-05,11.70025576,,,,,,,
40.1000004,2.19E-05,11.81025817,,,,,,,
40.3999992,2.19E-05,11.90026013,,,,,,,
40.6000008,2.19E-05,11.98026188,,,,,,,
40.7999988,2.26E-05,12.09027296,,,,,,,
41.0000004,2.40E-05,12.19029305,,,,,,,
41.1999984,2.40E-05,12.28029521,,,,,,,
41.5000008,2.48E-05,12.36030601,,,,,,,
41.6999988,2.48E-05,12.45030824,,,,,,,
41.9000004,2.55E-05,12.55032006,,,,,,,
42.0999984,2.62E-05,12.63033117,,,,,,,
42.4000008,2.69E-05,12.74034319,,,,,,,
42.5999988,2.69E-05,12.83034561,,,,,,,
42.8000004,2.69E-05,12.91034777,,,,,,,
42.9999984,2.84E-05,13.0103695,,,,,,,
43.2,2.91E-05,13.10038183,,,,,,,
43.4999988,2.84E-05,13.18037433,,,,,,,
43.7000004,2.91E-05,13.29038736,,,,,,,
43.8999984,2.99E-05,13.37039928,,,,,,,
44.1,3.06E-05,13.46041201,,,,,,,
44.3999988,3.06E-05,13.56041507,,,,,,,
44.6000004,3.21E-05,13.6504378,,,,,,,
44.7999984,3.21E-05,13.76044132,,,,,,,
45,3.35E-05,13.84046374,,,,,,,
45.2000016,3.35E-05,13.94046709,,,,,,,
45.5000004,3.43E-05,14.03048057,,,,,,,
45.6999984,3.50E-05,14.12049378,,,,,,,
45.9,3.57E-05,14.19050681,,,,,,,
46.1000016,3.57E-05,14.33051181,,,,,,,
46.4000004,3.57E-05,14.44051574,,,,,,,
46.5999984,3.57E-05,14.50051788,,,,,,,
46.8,3.72E-05,14.6005424,,,,,,,
47.0000016,3.72E-05,14.69054575,,,,,,,
47.1999996,3.72E-05,14.77054872,,,,,,,
47.4999984,3.72E-05,14.88055281,,,,,,,
47.7,3.79E-05,14.9805677,,,,,,,
47.9000016,3.79E-05,15.09057187,,,,,,,
