param_type,param_name,out_u_bound,out_l_bound,in_u_bound,base,in_l_bound
output,g133_phi_2,1,0,0.5894357358397321,10,0.5698886706581175
output,g134_phi_1,1,0,0.3961121306114783,10,0.37770684136962396
output,g134_Phi,1,0,0.4005034516781499,10,0.3907055412263708
output,g134_phi_2,1,0,0.6571515019009666,10,0.6462664557108607
output,g135_phi_1,1,0,-0.0686540228646696,10,-0.128660618900139
output,g135_Phi,1,0,0.3919050068671565,10,0.3746383841201878
output,g135_phi_2,1,0,0.47299034967665815,10,0.4546467155768792
output,g136_phi_1,1,0,0.11859536522376198,10,0.09485529008368032
output,g136_Phi,1,0,0.20387562327733405,10,0.1954291424570625
output,g136_phi_2,1,0,0.637359621816497,10,0.6321940036153366
output,g137_phi_1,1,0,0.23090851932076448,10,0.21396908241469936
output,g137_Phi,1,0,0.303649561060314,10,0.2964238485037764
output,g137_phi_2,1,0,0.5435714239623654,10,0.5375924475173411
output,g138_phi_1,1,0,-0.49376564038787407,10,-2.2829705959151223
output,g138_Phi,1,0,0.4308326351472177,10,0.4235080103454926
output,g138_phi_2,1,0,0.34513838311010103,10,0.3113723618035488
output,g139_phi_1,1,0,0.5391765020950162,10,0.505800931949501
output,g139_Phi,1,0,0.4718928513705805,10,0.46726763917957875
output,g139_phi_2,1,0,0.7981463225752155,10,-10
output,g140_phi_1,1,0,-0.06360188371143037,10,-0.13406141825118853
output,g140_Phi,1,0,0.39201068319549925,10,0.3699020200240193
output,g140_phi_2,1,0,0.47516251908309076,10,0.45429593073984975
output,g141_phi_1,1,0,0.22055261986634606,10,0.2119477436794335
output,g141_Phi,1,0,0.22287247706983912,10,0.21317230904681925
output,g141_phi_2,1,0,0.615107987443194,10,0.6112558448474836
output,g142_phi_1,1,0,0.1931245983544616,10,0.1639957546417437
output,g142_Phi,1,0,0.2739730037695494,10,0.24814498728777773
output,g142_phi_2,1,0,0.5111879333172231,10,0.5027411188062079
output,g143_phi_1,1,0,-0.09975307009634908,10,-0.13115579683326717
output,g143_Phi,1,0,0.39194023516713555,10,0.3808441264646657
output,g143_phi_2,1,0,0.46121330546113526,10,0.4512950826426848
output,g145_phi_1,1,0,0.35185426047875257,10,0.3351970450775617
output,g145_Phi,1,0,0.3711787318162868,10,0.3631228882941501
output,g145_phi_2,1,0,0.6983963569292694,10,0.6926266329514809
output,g146_phi_1,1,0,0.08997572268772894,10,0.0572475801312449
output,g146_Phi,1,0,0.4120235130419763,10,0.4053975912649966
output,g146_phi_2,1,0,0.49943962920174234,10,0.48641630914589234
