strain,strain_intervals,g14_phi_1,g14_Phi,g14_phi_2,g72_phi_1,g72_Phi,g72_phi_2,g95_phi_1,g95_Phi,g95_phi_2,g101_phi_1,g101_Phi,g101_phi_2,g207_phi_1,g207_Phi,g207_phi_2,g240_phi_1,g240_Phi,g240_phi_2,g262_phi_1,g262_Phi,g262_phi_2,g287_phi_1,g287_Phi,g287_phi_2,stress,average_strain,average_stress
0.1653,0.1653,1.3168554468478224,2.236163656667258,4.271442653551307,0.06901770632796261,2.9013410473126298,1.8406884999606061,1.7795465783229738,1.9518350879040838,3.4080310968838035,1.5290390687205686,2.4752175257143034,3.51248987455827,2.009059912893978,1.843550820332866,3.7701891403718806,2.3925911240224007,2.3747687866967153,3.7225141186445825,1.4902067621101565,2.4787566659645117,3.9303497011455715,2.177222342140072,2.3948318220227844,3.6283262315269487,694.0130129972865,0.1653,694.0130129972865
0.1682,0.1682,1.3174017499575585,2.2363041200925373,4.272175933155124,0.06776912462142023,2.901528330151614,1.8386685909296847,1.7811238135017267,1.9509798856875575,3.4072957433974502,1.527771779662318,2.475785318542381,3.5131845441985163,2.009677920169693,1.8428319324814182,3.7694072689765057,2.3931015679402194,2.374091591526149,3.722030782929116,1.4918593197021732,2.479699547672149,3.93189756449698,2.1776235404273296,2.3949120774718,3.6270719887650666,700.0186847357072,0.1682,700.0186847357072
0.17109999999999997,0.17109999999999997,1.3180390607626795,2.236370592751133,4.272938225977447,0.0671177021873926,2.9017327575872183,1.8365639372664249,1.7827533082493459,1.95006295620368,3.40655779900068,1.5263282341130189,2.4763994128381075,3.5139402640284922,2.010259185363345,1.8420544030861492,3.768642573818277,2.3936432499463676,2.373365152568673,3.7215922209407255,1.493514271062807,2.4806313601934704,3.933530997596212,2.178105134538605,2.3949701999445008,3.6258985958742147,705.9347640174356,0.17109999999999997,705.9347640174356
0.174,0.174,1.3187140061986014,2.236418018390169,4.273710152594572,0.06649979007729234,2.90193524572285,1.8343914706700026,1.7843957526963397,1.9491448178320006,3.4058214229268233,1.5248346648292883,2.4770253147853403,3.5147095305649323,2.0108422907413805,1.841261907888965,3.7678602139248594,2.3941775596723622,2.372626309185209,3.7211515300252125,1.4951518944352853,2.481534262733921,3.9351530282701455,2.1785982633982517,2.3950298691580705,3.624734671958973,711.3704026749493,0.174,711.3704026749493
0.1769,0.1769,1.3192733654536446,2.2364282193629768,4.274512781333434,0.0662247381199781,2.9021017277552397,1.832398963559634,1.7860269864028657,1.9482571691961277,3.405061666273326,1.5233484298931748,2.4776378492488185,3.5154821398708114,2.011413430159308,1.8405287383697249,3.7670702872595525,2.39465803852266,2.371885130942123,3.7206652074860536,1.4968028513782936,2.482418053198562,3.9367911420849397,2.1790424638025097,2.395110495204901,3.6234969262819234,716.8391782640675,0.1769,716.8391782640675
0.1798,0.1798,1.3198147246353542,2.2364341325362824,4.275313756502326,0.06600391764149399,2.9022605259910894,1.8304348674170192,1.7876562510550913,1.9473758395524068,3.4042999239144667,1.5218692815358268,2.478245138086654,3.5162495788153088,2.0119844664340585,1.839805872518454,3.7662801232975087,2.3951264419055422,2.371147121847013,3.7201740809728645,1.4984467515965005,2.4832924636658826,3.9384192112042644,2.179478797382216,2.3951929411743316,3.622255945145017,722.1102903376981,0.1798,722.1102903376981
0.18269999999999997,0.18269999999999997,1.3204029314328039,2.236469788028531,4.276074224529834,0.06528144885115202,2.902402312518722,1.8283800971889392,1.7893819452081066,1.9464696377729434,3.4035199158568026,1.5203316546179118,2.4788509672025176,3.516978739899446,2.012598223020795,1.8390212356779736,3.765469146141635,2.395626119318552,2.3704042106286596,3.7196652448732577,1.5000272540741233,2.484133095024208,3.9399894193503986,2.179973868886852,2.3952573120463527,3.621070318783385,727.6297407735335,0.18269999999999997,727.6297407735335
0.1856,0.1856,1.3210327515426374,2.2365275089611805,4.276848880950363,0.06505986661294413,2.9025583791305785,1.826277044998034,1.7911548817197769,1.9455778130687735,3.4027371295778526,1.5187955508149222,2.4794502371392726,3.517716179009353,2.0132500948298335,1.8382340285604566,3.764651744231275,2.3961246456176437,2.3696410328398008,3.719152864626205,1.5016303278508647,2.4849771304528065,3.9415669899035106,2.180462163397803,2.395323569847274,3.619859957789263,732.7195692150492,0.1856,732.7195692150492
0.1885,0.1885,1.321656798254028,2.2365857225474737,4.277614228184968,0.06487331517201313,2.9027131055517517,1.8242037298267515,1.7929068906100196,1.9446996979170832,3.4019655888713647,1.5172829786213398,2.480040681274578,3.5184440881071395,2.013894984187434,1.8374589833409816,3.76384577864705,2.3966159708476753,2.368887369155854,3.718647472273466,1.5032135320078495,2.485809759939864,3.9431234772784154,2.1809431781336035,2.395388886712829,3.618664994060769,737.7266439936066,0.1885,737.7266439936066
0.1914,0.1914,1.3222761703981436,2.2366435234361415,4.2783657837640865,0.06469464806754532,2.9028651989995655,1.8221638150452804,1.7946343429433027,1.943835863472396,3.4012068165476923,1.5157952774155878,2.480623345731511,3.5191598177818753,2.0145323459076,1.8366955760865857,3.7630505885542314,2.3971003322965596,2.368150118795953,3.718152418138623,1.504772824715142,2.4866269780790913,3.94465667834037,2.181420749912145,2.395453942069593,3.6174902750933695,742.7010038089993,0.1914,742.7010038089993
0.19429999999999997,0.19429999999999997,1.3228865726706023,2.236700462863836,4.279106136673554,0.0645192085471712,2.903015009332879,1.8201567994348111,1.796337451467834,1.9429854010695495,3.400459631053845,1.5143313785176655,2.4811973963728615,3.5198649104229283,2.0151603481571234,1.8359439523050256,3.7622674983584536,2.397577511360686,2.3674242416087155,3.7176649070336523,1.5063102314683368,2.4874321299454616,3.9461674040126766,2.1818912925169194,2.395518030580379,3.6163336159530886,747.6334832343176,0.19429999999999997,747.6334832343176
0.1972,0.1972,1.3234862194471966,2.2367896076768474,4.279834939817978,0.06434239657392392,2.9031645587668473,1.8181924123547115,1.7980248394902942,1.942166118794437,3.399733710884549,1.5129041324168737,2.481756249188715,3.520574267861991,2.0157806565720344,1.8352279508766758,3.7615050608357996,2.398047852540945,2.366711468401284,3.7171893997431984,1.5078051311233132,2.4882246238481596,3.947633710746178,2.182345046141362,2.3955812431914305,3.6152104875789495,752.6430842576531,0.1972,752.6430842576531
