Experimental,Low-Fidelity,High-Fidelity
1.2047,1.2269,1.1841
1.1989,1.2269,1.1958
1.1899,1.2269,1.198
1.2035,1.2278,1.1996
1.1996,1.2293,1.1868
1.1905,1.231,1.1894
1.1944,1.2333,1.1905
1.2149,1.2356,1.1929
1.2116,1.2401,1.1967
1.2313,1.2447,1.1996
1.2362,1.248,1.2034
1.2433,1.2546,1.208
1.2526,1.2618,1.2161
1.2512,1.2704,1.2246
1.2644,1.2813,1.234
1.2823,1.2908,1.2437
1.2912,1.3043,1.2562
1.3216,1.322,1.2738
1.3578,1.3409,1.2902
1.3776,1.3677,1.3247
1.4104,1.4028,1.3543
1.4558,1.434,1.3873
1.4964,1.4649,1.4189
1.5237,1.495,1.4501
